Enter initial value for theta: 500 
Enter stepsize for the points: .01
Enter stepsize: .001

[3.480000,24.278925]  	 mhat: 30206.352112

[3.490000,22.908814]  	 mhat: 30242.338206

[3.500000,21.551256]  	 mhat: 30276.438851

[3.510000,20.206812]  	 mhat: 30308.650443

[3.520000,18.876119]  	 mhat: 30338.970546

[3.530000,17.559908]  	 mhat: 30367.398040

[3.540000,16.259025]  	 mhat: 30393.933315

[3.550000,14.974456]  	 mhat: 30418.578501

[3.560000,13.707364]  	 mhat: 30441.337753

[3.570000,12.459139]  	 mhat: 30462.217609

[3.580000,11.231459]  	 mhat: 30481.227454

[3.590000,10.026382]  	 mhat: 30498.380112

[3.600000,8.846477]  	 mhat: 30513.692629

[3.610000,7.695002]  	 mhat: 30527.187331

[3.620000,6.576181]  	 mhat: 30538.893280

[3.630000,5.495626]  	 mhat: 30548.848327

[3.640000,4.460990]  	 mhat: 30557.102096

[3.650000,3.483029]  	 mhat: 30563.720455

[3.660000,2.577327]  	 mhat: 30568.792392

[3.670000,1.767012]  	 mhat: 30572.440789

[3.680000,1.086126]  	 mhat: 30574.838816

[3.690000,0.578794]  	 mhat: 30576.230364

[3.700000,0.274937]  	 mhat: 30576.933377

