Enter initial value for theta: 40000
Enter stepsize for the points: .01
Enter stepsize: .001

[2.820000,1319.832974]  	 mhat: 242852.394387

[2.830000,1301.641827]  	 mhat: 244165.957551

[2.840000,1283.482761]  	 mhat: 245470.496327

[2.850000,1265.356485]  	 mhat: 246765.817261

[2.860000,1247.263707]  	 mhat: 248051.726948

[2.870000,1229.205134]  	 mhat: 249328.032061

[2.880000,1211.181472]  	 mhat: 250594.539371

[2.890000,1193.193422]  	 mhat: 251851.055773

[2.900000,1175.241687]  	 mhat: 253097.388307

[2.910000,1157.326965]  	 mhat: 254333.344188

[2.920000,1139.449955]  	 mhat: 255558.730821

[2.930000,1121.611352]  	 mhat: 256773.355832

[2.940000,1103.811852]  	 mhat: 257977.027090

[2.950000,1086.052147]  	 mhat: 259169.552733

[2.960000,1068.332927]  	 mhat: 260350.741189

[2.970000,1050.654882]  	 mhat: 261520.401206

[2.980000,1033.018701]  	 mhat: 262678.341870

[2.990000,1015.425070]  	 mhat: 263824.372637

[3.000000,997.874672]  	 mhat: 264958.303355

[3.010000,980.368193]  	 mhat: 266079.944288

[3.020000,962.906314]  	 mhat: 267189.106144

[3.030000,945.489715]  	 mhat: 268285.600101

[3.040000,928.119077]  	 mhat: 269369.237831

[3.050000,910.795077]  	 mhat: 270439.831526

[3.060000,893.518394]  	 mhat: 271497.193926

[3.070000,876.289704]  	 mhat: 272541.138347

[3.080000,859.109682]  	 mhat: 273571.478704

[3.090000,841.979004]  	 mhat: 274588.029542

[3.100000,824.898343]  	 mhat: 275590.606060

[3.110000,807.868375]  	 mhat: 276579.024142

[3.120000,790.889772]  	 mhat: 277553.100383

[3.130000,773.963209]  	 mhat: 278512.652120

[3.140000,757.089360]  	 mhat: 279457.497458

[3.150000,740.268899]  	 mhat: 280387.455301

[3.160000,723.502501]  	 mhat: 281302.345384

[3.170000,706.790843]  	 mhat: 282201.988299

[3.180000,690.134603]  	 mhat: 283086.205529

[3.190000,673.534459]  	 mhat: 283954.819481

[3.200000,656.991093]  	 mhat: 284807.653514

[3.210000,640.505188]  	 mhat: 285644.531978

[3.220000,624.077432]  	 mhat: 286465.280242

[3.230000,607.708516]  	 mhat: 287269.724736

[3.240000,591.399133]  	 mhat: 288057.692981

[3.250000,575.149984]  	 mhat: 288829.013629

[3.260000,558.961775]  	 mhat: 289583.516503

[3.270000,542.835216]  	 mhat: 290321.032636

[3.280000,526.771030]  	 mhat: 291041.394313

[3.290000,510.769943]  	 mhat: 291744.435114

[3.300000,494.832694]  	 mhat: 292429.989965

[3.310000,478.960035]  	 mhat: 293097.895179

[3.320000,463.152730]  	 mhat: 293747.988515

[3.330000,447.411557]  	 mhat: 294380.109228

[3.340000,431.737313]  	 mhat: 294994.098131

[3.350000,416.130816]  	 mhat: 295589.797654

[3.360000,400.592907]  	 mhat: 296167.051917

[3.370000,385.124452]  	 mhat: 296725.706800

[3.380000,369.726353]  	 mhat: 297265.610026

[3.390000,354.399542]  	 mhat: 297786.611248

[3.400000,339.144999]  	 mhat: 298288.562151

[3.410000,323.963751]  	 mhat: 298771.316558

[3.420000,308.856882]  	 mhat: 299234.730556

[3.430000,293.825548]  	 mhat: 299678.662637

[3.440000,278.870983]  	 mhat: 300102.973856

[3.450000,263.994521]  	 mhat: 300507.528022

[3.460000,249.197612]  	 mhat: 300892.191908

[3.470000,234.481850]  	 mhat: 301256.835509

[3.480000,219.849002]  	 mhat: 301601.332350

[3.490000,205.301054]  	 mhat: 301925.559847

[3.500000,190.840260]  	 mhat: 302229.399764

[3.510000,176.469220]  	 mhat: 302512.738766

[3.520000,162.190980]  	 mhat: 302775.469132

[3.530000,148.009168]  	 mhat: 303017.489657

[3.540000,133.928196]  	 mhat: 303238.706855

[3.550000,119.953553]  	 mhat: 303439.036563

[3.560000,106.092256]  	 mhat: 303618.406172

[3.570000,92.353561]  	 mhat: 303776.757830

[3.580000,78.750164]  	 mhat: 303914.053217

[3.590000,65.300353]  	 mhat: 304030.281066

[3.600000,52.032204]  	 mhat: 304125.469814

[3.610000,38.992799]  	 mhat: 304199.710897

[3.620000,26.272250]  	 mhat: 304253.207615

[3.630000,14.086589]  	 mhat: 304286.401453

[3.640000,3.295236]  	 mhat: 304300.467510

